Month,Year,Product,Volume,FOB_value_000,"Avg_FOB
"
Jan,2015.00,Dessicated Coconut,1597.00,4386.86,2747.00
Feb,2015.00,Dessicated Coconut,1970.00,5755.95,2922.00
Mar,2015.00,Dessicated Coconut,2127.00,6189.31,2910.00
Apr,2015.00,Dessicated Coconut,2164.00,6592.68,3047.00
May,2015.00,Dessicated Coconut,2798.00,8210.93,2935.00
Jun,2015.00,Dessicated Coconut,3258.00,9283.58,2849.00
Jul,2015.00,Dessicated Coconut,3533.00,9072.35,2568.00
Aug,2015.00,Dessicated Coconut,3082.00,7866.19,2552.00
Sept,2015.00,Dessicated Coconut,4437.00,10571.67,2383.00
Oct,2015.00,Dessicated Coconut,4169.00,9409.27,2257.00
Nov,2015.00,Dessicated Coconut,3459.00,7594.36,2196.00
Dec,2015.00,Dessicated Coconut,3537.00,7540.08,2132.00
Jan,2016.00,Dessicated Coconut,2970.00,6345.37,2136.00
Feb,2016.00,Dessicated Coconut,3494.00,7101.90,2033.00
Mar,2016.00,Dessicated Coconut,4487.00,9190.92,2048.00
Apr,2016.00,Dessicated Coconut,3926.00,8144.51,2075.00
May,2016.00,Dessicated Coconut,4210.00,8972.05,2131.00
Jun,2016.00,Dessicated Coconut,4354.00,9428.22,2165.00
Jul,2016.00,Dessicated Coconut,4393.00,9409.93,2142.00
Aug,2016.00,Dessicated Coconut,4669.00,9758.29,2090.00
Sept,2016.00,Dessicated Coconut,4605.00,9879.56,2145.00
Oct,2016.00,Dessicated Coconut,4585.00,10087.50,2200.00
Nov,2016.00,Dessicated Coconut,3972.00,9003.99,2267.00
Dec,2016.00,Dessicated Coconut,3541.00,8309.28,2347.00
Jan,2017.00,Dessicated Coconut,2941.00,7068.84,2404.00
Feb,2017.00,Dessicated Coconut,2655.00,7270.78,2739.00
Mar,2017.00,Dessicated Coconut,3515.00,9724.06,2766.00
Apr,2017.00,Dessicated Coconut,2039.00,5854.75,2871.00
May,2017.00,Dessicated Coconut,2413.00,7048.08,2921.00
Jun,2017.00,Dessicated Coconut,2401.00,7126.77,2968.00
Jul,2017.00,Dessicated Coconut,2521.00,7636.30,3029.00
Aug,2017.00,Dessicated Coconut,2619.00,8546.93,3263.00
Sept,2017.00,Dessicated Coconut,2907.00,9690.66,3333.00
Oct,2017.00,Dessicated Coconut,2468.00,8733.24,3539.00
Nov,2017.00,Dessicated Coconut,1953.00,6824.86,3495.00
Dec,2017.00,Dessicated Coconut,986.00,3279.06,3326.00
Jan,2018.00,Dessicated Coconut,928.00,3386.49,3649.00
Feb,2018.00,Dessicated Coconut,1122.00,3899.40,3475.00
Mar,2018.00,Dessicated Coconut,1830.00,6614.39,3614.00
Apr,2018.00,Dessicated Coconut,1482.00,4863.44,3282.00
May,2018.00,Dessicated Coconut,1594.00,5328.13,3343.00
Jun,2018.00,Dessicated Coconut,2163.00,7034.42,3252.00
Jul,2018.00,Dessicated Coconut,2216.00,6710.13,3028.00
Aug,2018.00,Dessicated Coconut,3009.00,7909.32,2629.00
Sept,2018.00,Dessicated Coconut,2359.00,5556.88,2356.00
Oct,2018.00,Dessicated Coconut,2709.00,6234.17,2301.00
Nov,2018.00,Dessicated Coconut,2876.00,5630.09,1958.00
Dec,2018.00,Dessicated Coconut,3268.00,6533.34,1999.00
Jan,2019.00,Dessicated Coconut,3562.00,6529.00,1833.00
Feb,2019.00,Dessicated Coconut,3590.00,6447.22,1796.00
Mar,2019.00,Dessicated Coconut,4957.00,9455.07,1907.00
Apr,2019.00,Dessicated Coconut,3592.00,6809.35,1896.00
May,2019.00,Dessicated Coconut,4656.00,8639.43,1856.00
Jun,2019.00,Dessicated Coconut,3947.00,7069.45,1791.00
Jul,2019.00,Dessicated Coconut,4458.00,7573.41,1699.00
Aug,2019.00,Dessicated Coconut,5395.00,8247.30,1529.00
Sept,2019.00,Dessicated Coconut,4550.00,7234.56,1590.00
Oct,2019.00,Dessicated Coconut,4241.00,7177.29,1692.00
Nov,2019.00,Dessicated Coconut,3659.00,6060.70,1656.00
Dec,2019.00,Dessicated Coconut,3060.00,5552.10,1814.00
Jan,2020.00,Desiccated Coconut,2509.00,5356.10,2134.00
Feb,2020.00,Desiccated Coconut,2814.00,6805.64,2418.00
Mar,2020.00,Desiccated Coconut,1981.00,4911.75,2479.00
Apr,2020.00,Desiccated Coconut,1332.00,3314.72,2489.00
May,2020.00,Desiccated Coconut,1909.00,5022.96,2631.00
Jun,2020.00,Desiccated Coconut,2758.00,7107.04,2577.00
Jul,2020.00,Desiccated Coconut,3527.00,9100.14,2580.00
Aug,2020.00,Desiccated Coconut,2833.00,7352.12,2595.00
Sept,2020.00,Desiccated Coconut,3163.00,8494.36,2686.00
Oct,2020.00,Desiccated Coconut,2478.00,6612.76,2669.00
Nov,2020.00,Desiccated Coconut,2173.00,6032.23,2776.00
Dec,2020.00,Desiccated Coconut,2114.00,6096.94,2884.00
Jan,2021.00,Desiccated Coconut,1515.00,4827.04,3186.00
Feb,2021.00,Desiccated Coconut,2297.00,6708.12,2920.00
Mar,2021.00,Desiccated Coconut,3125.00,9442.15,3021.00
Apr,2021.00,Desiccated Coconut,2234.00,7150.01,3201.00
May,2021.00,Desiccated Coconut,2701.00,8789.00,3254.00
Jun,2021.00,Desiccated Coconut,2785.00,8592.59,3085.00
Jul,2021.00,Desiccated Coconut,3476.00,10374.43,2985.00
